epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,417.643,3.53281,6.87521,0.00596,0.40824,0.16394,0.12768,0.0401,2.7036,2.49813,0.00525,0.00999105,0.00333035,0.00999105,0.00333035,0.00999105,0.00333035,0.00999105,0.00333035
2,682.764,2.70102,3.23018,0.00313,0.56995,0.33147,0.30509,0.12864,2.36383,1.91689,0.00412,0.0197931,0.00659771,0.0197931,0.00659771,0.0197931,0.00659771,0.0197931,0.00659771
3,928.129,2.45976,2.06749,0.00262,0.6658,0.40487,0.41776,0.19429,2.26126,1.62175,0.00378,0.0293972,0.00979907,0.0293972,0.00979907,0.0293972,0.00979907,0.0293972,0.00979907
4,1158.86,2.32352,1.53198,0.00233,0.59114,0.4621,0.51791,0.25926,2.11965,1.34562,0.0035,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1387.55,2.20091,1.29411,0.00215,0.71629,0.50546,0.54335,0.27365,2.08548,1.33419,0.00358,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1615.92,2.14094,1.16368,0.00206,0.72876,0.57901,0.62618,0.33224,1.96331,1.14755,0.00331,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1848.83,2.08911,1.08139,0.00199,0.74706,0.57953,0.63348,0.33909,1.95267,1.121,0.00315,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2081.64,2.04454,1.02424,0.00191,0.73578,0.62296,0.67309,0.35569,1.96226,1.05719,0.00321,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2312.1,2.01129,0.98799,0.00186,0.78464,0.6329,0.70398,0.38138,1.90173,1.0133,0.00312,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2542.59,1.99535,0.95127,0.00185,0.76167,0.65076,0.69761,0.38255,1.88854,1.00436,0.00304,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
